"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test verifies download links are properly configured with correct href, visibility, and domain","209","Verify download link configuration and validity","Default Suite","Sat Dec 13 16:57:44 EET 2025","passed","Sat Dec 13 16:57:44 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testDownloadLinkConfiguration"
"Test verifies that clicking navigation items navigates to the correct pages","92","Verify navigation items are functional and link to correct pages","Default Suite","Sat Dec 13 16:58:18 EET 2025","passed","Sat Dec 13 16:58:18 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testNavigationItemFunctionality"
"Test verifies that clicking trading category tabs switches the view and loads category data","130","Verify trading tab functionality","Default Suite","Sat Dec 13 16:59:50 EET 2025","passed","Sat Dec 13 16:59:51 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingTabFunctionality"
"Test verifies that download links are visible","229","Verify download links are visible","Default Suite","Sat Dec 13 16:56:38 EET 2025","passed","Sat Dec 13 16:56:39 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testDownloadLinksVisible"
"Test verifies that About Us page content is fully loaded","1","Verify About Us page content is loaded","Default Suite","Sat Dec 13 16:57:28 EET 2025","skipped","Sat Dec 13 16:57:28 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testAboutUsContentLoaded"
"Test verifies that trading pair data is properly structured","0","Verify trading pair data structure","Default Suite","Sat Dec 13 16:59:08 EET 2025","skipped","Sat Dec 13 16:59:08 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingPairDataStructure"
"Test verifies that all expected table columns are present","55","Verify trading pairs table contains expected columns","Default Suite","Sat Dec 13 16:58:59 EET 2025","passed","Sat Dec 13 16:58:59 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingPairsTableColumns"
"Test verifies that market indicators are visible when enabled","59","Verify market indicators are visible","Default Suite","Sat Dec 13 16:59:24 EET 2025","passed","Sat Dec 13 16:59:24 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testMarketIndicatorsVisible"
"This test intentionally fails to demonstrate that screenshots are automatically captured and attached to the Allure report when a test fails","1561","Demo: Screenshot capture on test failure","Default Suite","Sat Dec 13 16:58:46 EET 2025","failed","Sat Dec 13 16:58:47 EET 2025","com.automation.multibank.ScreenshotDemoTest","automation-framework","com.automation.multibank.ScreenshotDemoTest","demoScreenshotCaptureOnFailure"
"Test verifies that trading category tabs are visible","30","Verify trading category tabs are visible","Default Suite","Sat Dec 13 16:59:16 EET 2025","passed","Sat Dec 13 16:59:16 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingTabsVisible"
"Test verifies that there are trading pairs available","1","Verify trading pairs count is greater than zero","Default Suite","Sat Dec 13 16:59:42 EET 2025","skipped","Sat Dec 13 16:59:42 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingPairsCount"
"Test verifies that download links point to correct app stores","237","Verify download links point to correct stores","Default Suite","Sat Dec 13 16:56:48 EET 2025","passed","Sat Dec 13 16:56:48 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testDownloadLinksPointToCorrectStores"
"Test verifies that trading pairs are displayed in the table","1","Verify trading pairs are displayed","Default Suite","Sat Dec 13 16:59:04 EET 2025","skipped","Sat Dec 13 16:59:04 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingPairsDisplayed"
"Test verifies that marketing banners are displayed","561","Verify marketing banners are visible","Default Suite","Sat Dec 13 16:56:56 EET 2025","passed","Sat Dec 13 16:56:57 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testMarketingBannersVisible"
"Test verifies that market indicators are visible when enabled","30","Verify market indicators are visible","Default Suite","Sat Dec 13 16:59:29 EET 2025","passed","Sat Dec 13 16:59:29 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testMarketIndicatorsVisible"
"Test verifies that all expected components are present on About Us page","1","Verify About Us page components are present","Default Suite","Sat Dec 13 16:57:24 EET 2025","skipped","Sat Dec 13 16:57:24 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testAboutUsPageComponents"
"Test verifies that clicking navigation items navigates to correct pages and remains functional","119","Verify navigation items functionality and navigation","Default Suite","Sat Dec 13 16:58:22 EET 2025","passed","Sat Dec 13 16:58:22 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testAllNavigationItemsFunctionality"
"Test verifies that specific marketing banners are visible","1044","Verify specific marketing banner is visible","Default Suite","Sat Dec 13 16:57:01 EET 2025","passed","Sat Dec 13 16:57:02 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testSpecificMarketingBannerVisible"
"Test verifies that the footer section is visible","84","Verify footer is displayed","Default Suite","Sat Dec 13 16:56:34 EET 2025","passed","Sat Dec 13 16:56:34 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testFooterDisplayed"
"Test verifies that quick access tools (Convert, Quick Buy, Panic Sell) are visible","39","Verify Quick Access Tools are visible","Default Suite","Sat Dec 13 16:59:38 EET 2025","passed","Sat Dec 13 16:59:38 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testQuickAccessToolsVisible"
"Test verifies that market indicators are visible when enabled","26","Verify market indicators are visible","Default Suite","Sat Dec 13 16:59:20 EET 2025","passed","Sat Dec 13 16:59:20 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testMarketIndicatorsVisible"
"Test verifies that social media links are visible in footer","3031","Verify social media links are visible","Default Suite","Sat Dec 13 16:57:32 EET 2025","passed","Sat Dec 13 16:57:35 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testSocialMediaLinksVisible"
"Test verifies that trading category tabs are visible","32","Verify trading category tabs are visible","Default Suite","Sat Dec 13 16:59:12 EET 2025","passed","Sat Dec 13 16:59:12 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingTabsVisible"
"Test verifies that the spot trading section is visible on the homepage","64","Verify spot trading section is displayed","Default Suite","Sat Dec 13 16:58:51 EET 2025","passed","Sat Dec 13 16:58:51 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testSpotTradingSectionDisplayed"
"Test verifies that the top navigation menu is visible and accessible on the homepage","32","Verify top navigation menu is displayed","Default Suite","Sat Dec 13 16:57:56 EET 2025","passed","Sat Dec 13 16:57:56 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testNavigationMenuDisplayed"
"Test verifies that clicking navigation items navigates to the correct pages","109","Verify navigation items are functional and link to correct pages","Default Suite","Sat Dec 13 16:58:13 EET 2025","passed","Sat Dec 13 16:58:14 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testNavigationItemFunctionality"
"Test verifies that all major page elements render correctly","63","Verify all page elements render correctly","Default Suite","Sat Dec 13 16:57:40 EET 2025","passed","Sat Dec 13 16:57:40 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testPageElementsRenderCorrectly"
"Test verifies download links are properly configured with correct href, visibility, and domain","201","Verify download link configuration and validity","Default Suite","Sat Dec 13 16:57:48 EET 2025","passed","Sat Dec 13 16:57:48 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testDownloadLinkConfiguration"
"Test verifies that investment opportunity sections are visible","556","Verify investment opportunity sections are visible","Default Suite","Sat Dec 13 16:59:33 EET 2025","passed","Sat Dec 13 16:59:34 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testInvestmentSectionsVisible"
"Test verifies that clicking navigation items navigates to correct pages and remains functional","162","Verify navigation items functionality and navigation","Default Suite","Sat Dec 13 16:58:29 EET 2025","passed","Sat Dec 13 16:58:29 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testAllNavigationItemsFunctionality"
"Test verifies that specific marketing banners are visible","1048","Verify specific marketing banner is visible","Default Suite","Sat Dec 13 16:57:11 EET 2025","passed","Sat Dec 13 16:57:12 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testSpecificMarketingBannerVisible"
"Test verifies that About Us page is accessible and loads correctly","3","Verify About Us page is accessible","Default Suite","Sat Dec 13 16:57:16 EET 2025","skipped","Sat Dec 13 16:57:16 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testAboutUsPageAccessible"
"Test verifies that download links are visible","52","Verify download links are visible","Default Suite","Sat Dec 13 16:56:43 EET 2025","passed","Sat Dec 13 16:56:43 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testDownloadLinksVisible"
"Test verifies that clicking navigation items navigates to correct pages and remains functional","0","Verify navigation items functionality and navigation","Default Suite","Sat Dec 13 16:58:37 EET 2025","skipped","Sat Dec 13 16:58:37 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testAllNavigationItemsFunctionality"
"Test verifies that clicking navigation items navigates to correct pages and remains functional","1","Verify navigation items functionality and navigation","Default Suite","Sat Dec 13 16:58:42 EET 2025","skipped","Sat Dec 13 16:58:42 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testAllNavigationItemsFunctionality"
"Test verifies that Why MultiBank section is visible on About Us page","2","Verify Why MultiBank section is visible","Default Suite","Sat Dec 13 16:57:20 EET 2025","skipped","Sat Dec 13 16:57:20 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testWhyMultiBankSectionVisible"
"Test verifies that clicking navigation items navigates to correct pages and remains functional","1","Verify navigation items functionality and navigation","Default Suite","Sat Dec 13 16:58:33 EET 2025","skipped","Sat Dec 13 16:58:33 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testAllNavigationItemsFunctionality"
